row;col;r;c;value;status
"Total viatgers";"08/2025 (p)";1;1;83,8;
"Total viatgers";"07/2025 (p)";1;2;79,9;
"Total viatgers";"06/2025 (p)";1;3;76,3;
"Total viatgers";"05/2025 (p)";1;4;72,5;
"Total viatgers";"04/2025 (p)";1;5;68,2;
"Total viatgers";"03/2025 (p)";1;6;63,2;
"Total viatgers";"02/2025 (p)";1;7;63,9;
"Total viatgers";"01/2025 (p)";1;8;55,1;
"Total viatgers";12/2024;1;9;52,7;
"Total viatgers";11/2024;1;10;63,7;
"Total viatgers";10/2024;1;11;70,9;
"Total viatgers";09/2024;1;12;77,6;
"Total viatgers";08/2024;1;13;84,2;
"Total viatgers";07/2024;1;14;79;
"Total viatgers";06/2024;1;15;75,4;
"Total viatgers";05/2024;1;16;71,9;
"Total viatgers";04/2024;1;17;66,3;
"Total viatgers";03/2024;1;18;62,6;
"Total viatgers";"02/2024 (p)";1;19;65,5;
"Total viatgers";01/2024;1;20;54,9;
"Total viatgers";12/2023;1;21;53,1;
"Total viatgers";11/2023;1;22;65,2;
"Total viatgers";10/2023;1;23;72,5;
"Total viatgers";09/2023;1;24;76;
"Total viatgers";08/2023;1;25;83,2;
"Total viatgers";07/2023;1;26;78,3;
"Total viatgers";06/2023;1;27;71,7;
"Total viatgers";05/2023;1;28;67,4;
"Total viatgers";04/2023;1;29;67,5;
"Total viatgers";03/2023;1;30;63,7;
"Total viatgers";02/2023;1;31;65,5;
"Total viatgers";01/2023;1;32;51,9;
"Total viatgers";12/2022;1;33;51,3;
"Total viatgers";11/2022;1;34;61,2;
"Total viatgers";10/2022;1;35;68,1;
"Total viatgers";09/2022;1;36;71,8;
"Total viatgers";08/2022;1;37;83,3;
"Total viatgers";07/2022;1;38;76,9;
"Total viatgers";06/2022;1;39;70,9;
"Total viatgers";05/2022;1;40;64,5;
"Total viatgers";04/2022;1;41;63,4;
"Total viatgers";03/2022;1;42;55,4;
"Total viatgers";02/2022;1;43;52,2;
"Total viatgers";01/2022;1;44;36,4;
"Total viatgers";12/2021;1;45;42,7;
"Total viatgers";11/2021;1;46;50,1;
"Total viatgers";10/2021;1;47;55,4;
"Total viatgers";09/2021;1;48;51,1;
"Total viatgers";08/2021;1;49;67,5;
"Total viatgers";07/2021;1;50;50,9;
"Total viatgers";06/2021;1;51;39;
"Total viatgers";05/2021;1;52;32,9;
"Total viatgers";04/2021;1;53;28,6;
"Total viatgers";03/2021;1;54;27,1;
"Total viatgers";02/2021;1;55;24;
"Total viatgers";01/2021;1;56;21,3;
"Total viatgers";12/2020;1;57;21;
"Total viatgers";11/2020;1;58;17,8;
"Total viatgers";10/2020;1;59;23,6;
"Total viatgers";09/2020;1;60;29,6;
"Total viatgers";08/2020;1;61;44,8;
"Total viatgers";07/2020;1;62;35,8;
"Total viatgers";06/2020;1;63;23,3;
"Total viatgers";05/2020;1;64;19,4;
"Total viatgers";04/2020;1;65;0;
"Total viatgers";03/2020;1;66;31,7;
"Total viatgers";02/2020;1;67;56,5;
"Total viatgers";01/2020;1;68;53,2;
"Total viatgers";12/2019;1;69;50,8;
"Total viatgers";11/2019;1;70;59,5;
"Total viatgers";10/2019;1;71;68,6;
"Total viatgers";09/2019;1;72;76,7;
"Total viatgers";08/2019;1;73;83,4;
"Total viatgers";07/2019;1;74;78,3;
"Total viatgers";06/2019;1;75;75,8;
"Total viatgers";05/2019;1;76;65,5;
"Total viatgers";04/2019;1;77;66,7;
"Total viatgers";03/2019;1;78;62,8;
"Total viatgers";02/2019;1;79;62;
"Total viatgers";01/2019;1;80;52;
"Total viatgers";12/2018;1;81;51,1;
"Total viatgers";11/2018;1;82;60,8;
"Total viatgers";10/2018;1;83;68,8;
"Total viatgers";09/2018;1;84;76,3;
"Total viatgers";08/2018;1;85;81,7;
"Total viatgers";07/2018;1;86;77,3;
"Total viatgers";06/2018;1;87;72;
"Total viatgers";05/2018;1;88;66,3;
"Total viatgers";04/2018;1;89;63,5;
"Total viatgers";03/2018;1;90;60,4;
"Total viatgers";02/2018;1;91;59;
"Total viatgers";01/2018;1;92;49,5;
"Total viatgers";12/2017;1;93;46,1;
"Total viatgers";11/2017;1;94;54,2;
"Total viatgers";10/2017;1;95;67,1;
"Total viatgers";09/2017;1;96;78;
"Total viatgers";08/2017;1;97;83,9;
"Total viatgers";07/2017;1;98;81,1;
"Total viatgers";06/2017;1;99;74,6;
"Total viatgers";05/2017;1;100;66,3;
"Total viatgers";04/2017;1;101;68,9;
"Total viatgers";03/2017;1;102;62,3;
"Total viatgers";02/2017;1;103;60,5;
"Total viatgers";01/2017;1;104;49;
"Total viatgers";12/2016;1;105;49,2;
"Total viatgers";11/2016;1;106;57,4;
"Total viatgers";10/2016;1;107;69,7;
"Total viatgers";09/2016;1;108;75,9;
"Total viatgers";08/2016;1;109;84,3;
"Total viatgers";07/2016;1;110;78,5;
"Total viatgers";06/2016;1;111;69;
"Total viatgers";05/2016;1;112;65,4;
"Total viatgers";04/2016;1;113;63,9;
"Total viatgers";03/2016;1;114;59,1;
"Total viatgers";02/2016;1;115;56,8;
"Total viatgers";01/2016;1;116;45,7;
"Total viatgers";12/2015;1;117;44,9;
"Total viatgers";11/2015;1;118;53,8;
"Total viatgers";10/2015;1;119;66,5;
"Total viatgers";09/2015;1;120;71,7;
"Total viatgers";08/2015;1;121;82,1;
"Total viatgers";07/2015;1;122;73,7;
"Total viatgers";06/2015;1;123;64,3;
"Total viatgers";05/2015;1;124;61,6;
"Total viatgers";04/2015;1;125;61,3;
"Total viatgers";03/2015;1;126;57,5;
"Total viatgers";02/2015;1;127;49,8;
"Total viatgers";01/2015;1;128;41,6;
"Total viatgers";12/2014;1;129;41,5;
"Total viatgers";11/2014;1;130;49,4;
"Total viatgers";10/2014;1;131;62,6;
"Total viatgers";09/2014;1;132;71,7;
"Total viatgers";08/2014;1;133;81,8;
"Total viatgers";07/2014;1;134;72,1;
"Total viatgers";06/2014;1;135;65,5;
"Total viatgers";05/2014;1;136;58,3;
"Total viatgers";04/2014;1;137;56,5;
"Total viatgers";03/2014;1;138;52,2;
"Total viatgers";02/2014;1;139;48,5;
"Total viatgers";01/2014;1;140;37,5;
"Total viatgers";12/2013;1;141;41,3;
"Total viatgers";11/2013;1;142;49;
"Total viatgers";10/2013;1;143;60,8;
"Total viatgers";09/2013;1;144;71,1;
"Total viatgers";08/2013;1;145;80,7;
"Total viatgers";07/2013;1;146;74,1;
"Total viatgers";06/2013;1;147;66,2;
"Total viatgers";05/2013;1;148;58,8;
"Total viatgers";04/2013;1;149;54,2;
"Total viatgers";03/2013;1;150;50;
"Total viatgers";02/2013;1;151;46,7;
"Total viatgers";01/2013;1;152;35,8;
"Total viatgers";12/2012;1;153;36,5;
"Total viatgers";11/2012;1;154;46;
"Total viatgers";10/2012;1;155;59,1;
"Total viatgers";09/2012;1;156;70,5;
"Total viatgers";08/2012;1;157;79,4;
"Total viatgers";07/2012;1;158;74,8;
"Total viatgers";06/2012;1;159;64,9;
"Total viatgers";05/2012;1;160;57,4;
"Total viatgers";04/2012;1;161;58,5;
"Total viatgers";03/2012;1;162;50;
"Total viatgers";02/2012;1;163;47,5;
"Total viatgers";01/2012;1;164;36,9;
"Total viatgers";12/2011;1;165;36,9;
"Total viatgers";11/2011;1;166;47,8;
"Total viatgers";10/2011;1;167;60,2;
"Total viatgers";09/2011;1;168;70,4;
"Total viatgers";08/2011;1;169;78,4;
"Total viatgers";07/2011;1;170;74,3;
"Total viatgers";06/2011;1;171;67,3;
"Total viatgers";05/2011;1;172;56,9;
"Total viatgers";04/2011;1;173;59,2;
"Total viatgers";03/2011;1;174;51,1;
"Total viatgers";02/2011;1;175;48,2;
"Total viatgers";01/2011;1;176;36,2;
"Total viatgers";12/2010;1;177;40;
"Total viatgers";11/2010;1;178;47,6;
"Total viatgers";10/2010;1;179;59,5;
"Total viatgers";09/2010;1;180;65,4;
"Total viatgers";08/2010;1;181;75,8;
"Total viatgers";07/2010;1;182;69,4;
"Total viatgers";06/2010;1;183;59,2;
"Total viatgers";05/2010;1;184;55,9;
"Total viatgers";04/2010;1;185;54,7;
"Total viatgers";03/2010;1;186;50,2;
"Total viatgers";02/2010;1;187;47,3;
"Total viatgers";01/2010;1;188;35,2;
"Total viatgers";12/2009;1;189;38,2;
"Total viatgers";11/2009;1;190;45,5;
"Total viatgers";10/2009;1;191;54,6;
"Total viatgers";09/2009;1;192;62,3;
"Total viatgers";08/2009;1;193;74,7;
"Total viatgers";07/2009;1;194;68,5;
"Total viatgers";06/2009;1;195;58;
"Total viatgers";05/2009;1;196;54,3;
"Total viatgers";04/2009;1;197;53,2;
"Total viatgers";03/2009;1;198;46;
"Total viatgers";02/2009;1;199;46,2;
"Total viatgers";01/2009;1;200;36;
"Total viatgers";12/2008;1;201;39;
"Total viatgers";11/2008;1;202;47,8;
"Total viatgers";10/2008;1;203;56,6;
"Total viatgers";09/2008;1;204;66;
"Total viatgers";08/2008;1;205;76,7;
"Total viatgers";07/2008;1;206;72,3;
"Total viatgers";06/2008;1;207;63,1;
"Total viatgers";05/2008;1;208;59,6;
"Total viatgers";04/2008;1;209;54;
"Total viatgers";03/2008;1;210;54,1;
"Total viatgers";02/2008;1;211;55;
"Total viatgers";01/2008;1;212;44,6;
"Total viatgers";12/2007;1;213;43;
"Total viatgers";11/2007;1;214;55,8;
"Total viatgers";10/2007;1;215;61,2;
"Total viatgers";09/2007;1;216;71,7;
"Total viatgers";08/2007;1;217;80,2;
"Total viatgers";07/2007;1;218;73,3;
"Total viatgers";06/2007;1;219;67,5;
"Total viatgers";05/2007;1;220;60;
"Total viatgers";04/2007;1;221;61,8;
"Total viatgers";03/2007;1;222;55;
"Total viatgers";02/2007;1;223;54,5;
"Total viatgers";01/2007;1;224;45,6;
"Total viatgers";12/2006;1;225;43,4;
"Total viatgers";11/2006;1;226;55,9;
"Total viatgers";10/2006;1;227;60,7;
"Total viatgers";09/2006;1;228;72,4;
"Total viatgers";08/2006;1;229;78,6;
"Total viatgers";07/2006;1;230;73,4;
"Total viatgers";06/2006;1;231;65,1;
"Total viatgers";05/2006;1;232;60,1;
"Total viatgers";04/2006;1;233;59,4;
"Total viatgers";03/2006;1;234;55,1;
"Total viatgers";02/2006;1;235;54,8;
"Total viatgers";01/2006;1;236;46,4;
Barcelona;"08/2025 (p)";2;1;85,9;
Barcelona;"07/2025 (p)";2;2;85,1;
Barcelona;"06/2025 (p)";2;3;85;
Barcelona;"05/2025 (p)";2;4;85,7;
Barcelona;"04/2025 (p)";2;5;82,3;
Barcelona;"03/2025 (p)";2;6;77,3;
Barcelona;"02/2025 (p)";2;7;73,7;
Barcelona;"01/2025 (p)";2;8;62,9;
Barcelona;12/2024;2;9;60,9;
Barcelona;11/2024;2;10;76,9;
Barcelona;10/2024;2;11;83;
Barcelona;09/2024;2;12;85;
Barcelona;08/2024;2;13;85,3;
Barcelona;07/2024;2;14;84,8;
Barcelona;06/2024;2;15;86,7;
Barcelona;05/2024;2;16;86,6;
Barcelona;04/2024;2;17;85;
Barcelona;03/2024;2;18;77,5;
Barcelona;"02/2024 (p)";2;19;76,6;
Barcelona;01/2024;2;20;63,4;
Barcelona;12/2023;2;21;59,7;
Barcelona;11/2023;2;22;78,8;
Barcelona;10/2023;2;23;86,1;
Barcelona;09/2023;2;24;86,2;
Barcelona;08/2023;2;25;85,6;
Barcelona;07/2023;2;26;86,6;
Barcelona;06/2023;2;27;85,8;
Barcelona;05/2023;2;28;84,9;
Barcelona;04/2023;2;29;82,9;
Barcelona;03/2023;2;30;78,1;
Barcelona;02/2023;2;31;76,4;
Barcelona;01/2023;2;32;59;
Barcelona;12/2022;2;33;57,5;
Barcelona;11/2022;2;34;73,9;
Barcelona;10/2022;2;35;85,7;
Barcelona;09/2022;2;36;86,9;
Barcelona;08/2022;2;37;85,7;
Barcelona;07/2022;2;38;85,8;
Barcelona;06/2022;2;39;88,4;
Barcelona;05/2022;2;40;86,3;
Barcelona;04/2022;2;41;82,8;
Barcelona;03/2022;2;42;68;
Barcelona;02/2022;2;43;57,1;
Barcelona;01/2022;2;44;36,3;
Barcelona;12/2021;2;45;47,1;
Barcelona;11/2021;2;46;59,8;
Barcelona;10/2021;2;47;65,3;
Barcelona;09/2021;2;48;58,5;
Barcelona;08/2021;2;49;65,1;
Barcelona;07/2021;2;50;53,7;
Barcelona;06/2021;2;51;41,7;
Barcelona;05/2021;2;52;35,4;
Barcelona;04/2021;2;53;28,8;
Barcelona;03/2021;2;54;25,8;
Barcelona;02/2021;2;55;23,4;
Barcelona;01/2021;2;56;19;
Barcelona;12/2020;2;57;19,4;
Barcelona;11/2020;2;58;14,5;
Barcelona;10/2020;2;59;18,3;
Barcelona;09/2020;2;60;20,4;
Barcelona;08/2020;2;61;24;
Barcelona;07/2020;2;62;28,8;
Barcelona;06/2020;2;63;;..
Barcelona;05/2020;2;64;;..
Barcelona;04/2020;2;65;;..
Barcelona;03/2020;2;66;36,4;
Barcelona;02/2020;2;67;64,3;
Barcelona;01/2020;2;68;63,6;
Barcelona;12/2019;2;69;58,7;
Barcelona;11/2019;2;70;75,1;
Barcelona;10/2019;2;71;84,4;
Barcelona;09/2019;2;72;87,4;
Barcelona;08/2019;2;73;87,3;
Barcelona;07/2019;2;74;88,9;
Barcelona;06/2019;2;75;89,5;
Barcelona;05/2019;2;76;86,3;
Barcelona;04/2019;2;77;83,8;
Barcelona;03/2019;2;78;78,3;
Barcelona;02/2019;2;79;74,1;
Barcelona;01/2019;2;80;63,5;
Barcelona;12/2018;2;81;60,4;
Barcelona;11/2018;2;82;76,6;
Barcelona;10/2018;2;83;85,2;
Barcelona;09/2018;2;84;85,9;
Barcelona;08/2018;2;85;85,4;
Barcelona;07/2018;2;86;87,7;
Barcelona;06/2018;2;87;87,1;
Barcelona;05/2018;2;88;83,9;
Barcelona;04/2018;2;89;82;
Barcelona;03/2018;2;90;73;
Barcelona;02/2018;2;91;71,1;
Barcelona;01/2018;2;92;58,7;
Barcelona;12/2017;2;93;52,5;
Barcelona;11/2017;2;94;66,8;
Barcelona;10/2017;2;95;80,5;
Barcelona;09/2017;2;96;87,3;
Barcelona;08/2017;2;97;86,4;
Barcelona;07/2017;2;98;90;
Barcelona;06/2017;2;99;89;
Barcelona;05/2017;2;100;89;
Barcelona;04/2017;2;101;86,3;
Barcelona;03/2017;2;102;79,2;
Barcelona;02/2017;2;103;73,3;
Barcelona;01/2017;2;104;60,1;
Barcelona;12/2016;2;105;61,7;
Barcelona;11/2016;2;106;74,5;
Barcelona;10/2016;2;107;88,5;
Barcelona;09/2016;2;108;89;
Barcelona;08/2016;2;109;88,7;
Barcelona;07/2016;2;110;89,5;
Barcelona;06/2016;2;111;85,6;
Barcelona;05/2016;2;112;85,6;
Barcelona;04/2016;2;113;84;
Barcelona;03/2016;2;114;73,1;
Barcelona;02/2016;2;115;69,5;
Barcelona;01/2016;2;116;55,8;
Barcelona;12/2015;2;117;53,6;
Barcelona;11/2015;2;118;71,8;
Barcelona;10/2015;2;119;87,8;
Barcelona;09/2015;2;120;88,2;
Barcelona;08/2015;2;121;89;
Barcelona;07/2015;2;122;87,7;
Barcelona;06/2015;2;123;84,8;
Barcelona;05/2015;2;124;86;
Barcelona;04/2015;2;125;82,3;
Barcelona;03/2015;2;126;74,6;
Barcelona;02/2015;2;127;60,3;
Barcelona;01/2015;2;128;50,8;
Barcelona;12/2014;2;129;52,7;
Barcelona;11/2014;2;130;65,4;
Barcelona;10/2014;2;131;84,5;
Barcelona;09/2014;2;132;85,7;
Barcelona;08/2014;2;133;89,2;
Barcelona;07/2014;2;134;84,4;
Barcelona;06/2014;2;135;80,1;
Barcelona;05/2014;2;136;82,5;
Barcelona;04/2014;2;137;74,8;
Barcelona;03/2014;2;138;68,4;
Barcelona;02/2014;2;139;62,5;
Barcelona;01/2014;2;140;46,2;
Barcelona;12/2013;2;141;51,7;
Barcelona;11/2013;2;142;64,1;
Barcelona;10/2013;2;143;82,8;
Barcelona;09/2013;2;144;84;
Barcelona;08/2013;2;145;86,8;
Barcelona;07/2013;2;146;84,7;
Barcelona;06/2013;2;147;81,8;
Barcelona;05/2013;2;148;82,2;
Barcelona;04/2013;2;149;77,5;
Barcelona;03/2013;2;150;65,9;
Barcelona;02/2013;2;151;62,6;
Barcelona;01/2013;2;152;45,5;
Barcelona;12/2012;2;153;44,6;
Barcelona;11/2012;2;154;60,7;
Barcelona;10/2012;2;155;83,1;
Barcelona;09/2012;2;156;81,9;
Barcelona;08/2012;2;157;84,4;
Barcelona;07/2012;2;158;87,2;
Barcelona;06/2012;2;159;79,5;
Barcelona;05/2012;2;160;80,6;
Barcelona;04/2012;2;161;82,6;
Barcelona;03/2012;2;162;68,1;
Barcelona;02/2012;2;163;63,6;
Barcelona;01/2012;2;164;46;
Barcelona;12/2011;2;165;47,1;
Barcelona;11/2011;2;166;65,6;
Barcelona;10/2011;2;167;82,5;
Barcelona;09/2011;2;168;84,6;
Barcelona;08/2011;2;169;82,8;
Barcelona;07/2011;2;170;85,9;
Barcelona;06/2011;2;171;80,8;
Barcelona;05/2011;2;172;82,1;
Barcelona;04/2011;2;173;79,4;
Barcelona;03/2011;2;174;68,1;
Barcelona;02/2011;2;175;61,6;
Barcelona;01/2011;2;176;46,2;
Barcelona;12/2010;2;177;50,3;
Barcelona;11/2010;2;178;64,8;
Barcelona;10/2010;2;179;81,1;
Barcelona;09/2010;2;180;79,4;
Barcelona;08/2010;2;181;78,2;
Barcelona;07/2010;2;182;82,1;
Barcelona;06/2010;2;183;72,4;
Barcelona;05/2010;2;184;75,7;
Barcelona;04/2010;2;185;74;
Barcelona;03/2010;2;186;67,1;
Barcelona;02/2010;2;187;59,6;
Barcelona;01/2010;2;188;43,8;
Barcelona;12/2009;2;189;48,6;
Barcelona;11/2009;2;190;61,6;
Barcelona;10/2009;2;191;74,8;
Barcelona;09/2009;2;192;76,9;
Barcelona;08/2009;2;193;79,3;
Barcelona;07/2009;2;194;78,7;
Barcelona;06/2009;2;195;71,9;
Barcelona;05/2009;2;196;73,5;
Barcelona;04/2009;2;197;71,7;
Barcelona;03/2009;2;198;62;
Barcelona;02/2009;2;199;62,7;
Barcelona;01/2009;2;200;46,8;
Barcelona;12/2008;2;201;49;
Barcelona;11/2008;2;202;64,2;
Barcelona;10/2008;2;203;76,6;
Barcelona;09/2008;2;204;76,8;
Barcelona;08/2008;2;205;77,1;
Barcelona;07/2008;2;206;79,7;
Barcelona;06/2008;2;207;75,4;
Barcelona;05/2008;2;208;81;
Barcelona;04/2008;2;209;78,4;
Barcelona;03/2008;2;210;71,8;
Barcelona;02/2008;2;211;71,8;
Barcelona;01/2008;2;212;54,5;
Barcelona;12/2007;2;213;54,2;
Barcelona;11/2007;2;214;76,4;
Barcelona;10/2007;2;215;82,4;
Barcelona;09/2007;2;216;83,6;
Barcelona;08/2007;2;217;81,9;
Barcelona;07/2007;2;218;81,5;
Barcelona;06/2007;2;219;83,5;
Barcelona;05/2007;2;220;82,1;
Barcelona;04/2007;2;221;83,3;
Barcelona;03/2007;2;222;73,6;
Barcelona;02/2007;2;223;70,9;
Barcelona;01/2007;2;224;57,4;
Barcelona;12/2006;2;225;54,8;
Barcelona;11/2006;2;226;74,4;
Barcelona;10/2006;2;227;83,1;
Barcelona;09/2006;2;228;84,6;
Barcelona;08/2006;2;229;80;
Barcelona;07/2006;2;230;78,8;
Barcelona;06/2006;2;231;77,7;
Barcelona;05/2006;2;232;81,4;
Barcelona;04/2006;2;233;79,3;
Barcelona;03/2006;2;234;73,5;
Barcelona;02/2006;2;235;69,6;
Barcelona;01/2006;2;236;55,6;
"Catalunya Central";"08/2025 (p)";3;1;;..
"Catalunya Central";"07/2025 (p)";3;2;0;
"Catalunya Central";"06/2025 (p)";3;3;;z
"Catalunya Central";"05/2025 (p)";3;4;0;
"Catalunya Central";"04/2025 (p)";3;5;0;
"Catalunya Central";"03/2025 (p)";3;6;;z
"Catalunya Central";"02/2025 (p)";3;7;;z
"Catalunya Central";"01/2025 (p)";3;8;;z
"Catalunya Central";12/2024;3;9;0;
"Catalunya Central";11/2024;3;10;0;
"Catalunya Central";10/2024;3;11;0;
"Catalunya Central";09/2024;3;12;0;
"Catalunya Central";08/2024;3;13;;..
"Catalunya Central";07/2024;3;14;;z
"Catalunya Central";06/2024;3;15;;z
"Catalunya Central";05/2024;3;16;0;
"Catalunya Central";04/2024;3;17;0;
"Catalunya Central";03/2024;3;18;;z
"Catalunya Central";"02/2024 (p)";3;19;;z
"Catalunya Central";01/2024;3;20;;z
"Catalunya Central";12/2023;3;21;;z
"Catalunya Central";11/2023;3;22;;z
"Catalunya Central";10/2023;3;23;;z
"Catalunya Central";09/2023;3;24;;z
"Catalunya Central";08/2023;3;25;;z
"Catalunya Central";07/2023;3;26;;z
"Catalunya Central";06/2023;3;27;;z
"Catalunya Central";05/2023;3;28;;z
"Catalunya Central";04/2023;3;29;;z
"Catalunya Central";03/2023;3;30;;z
"Catalunya Central";02/2023;3;31;;z
"Catalunya Central";01/2023;3;32;;z
"Catalunya Central";12/2022;3;33;;z
"Catalunya Central";11/2022;3;34;;z
"Catalunya Central";10/2022;3;35;;z
"Catalunya Central";09/2022;3;36;;z
"Catalunya Central";08/2022;3;37;;z
"Catalunya Central";07/2022;3;38;;z
"Catalunya Central";06/2022;3;39;;z
"Catalunya Central";05/2022;3;40;;z
"Catalunya Central";04/2022;3;41;;z
"Catalunya Central";03/2022;3;42;;z
"Catalunya Central";02/2022;3;43;;z
"Catalunya Central";01/2022;3;44;;z
"Catalunya Central";12/2021;3;45;;z
"Catalunya Central";11/2021;3;46;;z
"Catalunya Central";10/2021;3;47;;z
"Catalunya Central";09/2021;3;48;;z
"Catalunya Central";08/2021;3;49;;z
"Catalunya Central";07/2021;3;50;;z
"Catalunya Central";06/2021;3;51;;z
"Catalunya Central";05/2021;3;52;;z
"Catalunya Central";04/2021;3;53;;z
"Catalunya Central";03/2021;3;54;;z
"Catalunya Central";02/2021;3;55;;z
"Catalunya Central";01/2021;3;56;;z
"Catalunya Central";12/2020;3;57;;z
"Catalunya Central";11/2020;3;58;;z
"Catalunya Central";10/2020;3;59;;z
"Catalunya Central";09/2020;3;60;;z
"Catalunya Central";08/2020;3;61;;z
"Catalunya Central";07/2020;3;62;;z
"Catalunya Central";06/2020;3;63;;z
"Catalunya Central";05/2020;3;64;;z
"Catalunya Central";04/2020;3;65;;z
"Catalunya Central";03/2020;3;66;;z
"Catalunya Central";02/2020;3;67;;z
"Catalunya Central";01/2020;3;68;;z
"Catalunya Central";12/2019;3;69;;z
"Catalunya Central";11/2019;3;70;;z
"Catalunya Central";10/2019;3;71;;z
"Catalunya Central";09/2019;3;72;;z
"Catalunya Central";08/2019;3;73;;z
"Catalunya Central";07/2019;3;74;;z
"Catalunya Central";06/2019;3;75;;z
"Catalunya Central";05/2019;3;76;;z
"Catalunya Central";04/2019;3;77;;z
"Catalunya Central";03/2019;3;78;;z
"Catalunya Central";02/2019;3;79;;z
"Catalunya Central";01/2019;3;80;;z
"Catalunya Central";12/2018;3;81;;z
"Catalunya Central";11/2018;3;82;;z
"Catalunya Central";10/2018;3;83;;z
"Catalunya Central";09/2018;3;84;;z
"Catalunya Central";08/2018;3;85;;z
"Catalunya Central";07/2018;3;86;;z
"Catalunya Central";06/2018;3;87;;z
"Catalunya Central";05/2018;3;88;;z
"Catalunya Central";04/2018;3;89;;z
"Catalunya Central";03/2018;3;90;;z
"Catalunya Central";02/2018;3;91;;z
"Catalunya Central";01/2018;3;92;;z
"Catalunya Central";12/2017;3;93;;z
"Catalunya Central";11/2017;3;94;;z
"Catalunya Central";10/2017;3;95;;z
"Catalunya Central";09/2017;3;96;;z
"Catalunya Central";08/2017;3;97;;z
"Catalunya Central";07/2017;3;98;;z
"Catalunya Central";06/2017;3;99;;z
"Catalunya Central";05/2017;3;100;;z
"Catalunya Central";04/2017;3;101;;z
"Catalunya Central";03/2017;3;102;;z
"Catalunya Central";02/2017;3;103;;z
"Catalunya Central";01/2017;3;104;;z
"Catalunya Central";12/2016;3;105;;z
"Catalunya Central";11/2016;3;106;;z
"Catalunya Central";10/2016;3;107;;z
"Catalunya Central";09/2016;3;108;;z
"Catalunya Central";08/2016;3;109;;z
"Catalunya Central";07/2016;3;110;;z
"Catalunya Central";06/2016;3;111;;z
"Catalunya Central";05/2016;3;112;;z
"Catalunya Central";04/2016;3;113;;z
"Catalunya Central";03/2016;3;114;;z
"Catalunya Central";02/2016;3;115;;z
"Catalunya Central";01/2016;3;116;;z
"Catalunya Central";12/2015;3;117;;z
"Catalunya Central";11/2015;3;118;;z
"Catalunya Central";10/2015;3;119;;z
"Catalunya Central";09/2015;3;120;;z
"Catalunya Central";08/2015;3;121;;z
"Catalunya Central";07/2015;3;122;;z
"Catalunya Central";06/2015;3;123;;z
"Catalunya Central";05/2015;3;124;;z
"Catalunya Central";04/2015;3;125;;z
"Catalunya Central";03/2015;3;126;;z
"Catalunya Central";02/2015;3;127;;z
"Catalunya Central";01/2015;3;128;;z
"Catalunya Central";12/2014;3;129;35,5;
"Catalunya Central";11/2014;3;130;40,5;
"Catalunya Central";10/2014;3;131;47,3;
"Catalunya Central";09/2014;3;132;46,9;
"Catalunya Central";08/2014;3;133;55,8;
"Catalunya Central";07/2014;3;134;47,5;
"Catalunya Central";06/2014;3;135;45,7;
"Catalunya Central";05/2014;3;136;45,4;
"Catalunya Central";04/2014;3;137;41,6;
"Catalunya Central";03/2014;3;138;40,1;
"Catalunya Central";02/2014;3;139;40,7;
"Catalunya Central";01/2014;3;140;31,3;
"Catalunya Central";12/2013;3;141;33,9;
"Catalunya Central";11/2013;3;142;37,8;
"Catalunya Central";10/2013;3;143;41,2;
"Catalunya Central";09/2013;3;144;42,7;
"Catalunya Central";08/2013;3;145;49,2;
"Catalunya Central";07/2013;3;146;46,4;
"Catalunya Central";06/2013;3;147;40,2;
"Catalunya Central";05/2013;3;148;44,7;
"Catalunya Central";04/2013;3;149;36,8;
"Catalunya Central";03/2013;3;150;38;
"Catalunya Central";02/2013;3;151;40;
"Catalunya Central";01/2013;3;152;31,5;
"Catalunya Central";12/2012;3;153;34,7;
"Catalunya Central";11/2012;3;154;38,3;
"Catalunya Central";10/2012;3;155;43,4;
"Catalunya Central";09/2012;3;156;40,2;
"Catalunya Central";08/2012;3;157;44;
"Catalunya Central";07/2012;3;158;47,3;
"Catalunya Central";06/2012;3;159;44,2;
"Catalunya Central";05/2012;3;160;40,8;
"Catalunya Central";04/2012;3;161;40,9;
"Catalunya Central";03/2012;3;162;40,8;
"Catalunya Central";02/2012;3;163;37,8;
"Catalunya Central";01/2012;3;164;31,1;
"Catalunya Central";12/2011;3;165;34,7;
"Catalunya Central";11/2011;3;166;40,6;
"Catalunya Central";10/2011;3;167;48,7;
"Catalunya Central";09/2011;3;168;52,7;
"Catalunya Central";08/2011;3;169;47,3;
"Catalunya Central";07/2011;3;170;45,4;
"Catalunya Central";06/2011;3;171;45,7;
"Catalunya Central";05/2011;3;172;46,5;
"Catalunya Central";04/2011;3;173;43,3;
"Catalunya Central";03/2011;3;174;41,4;
"Catalunya Central";02/2011;3;175;42,3;
"Catalunya Central";01/2011;3;176;28;
"Catalunya Central";12/2010;3;177;33,3;
"Catalunya Central";11/2010;3;178;39,9;
"Catalunya Central";10/2010;3;179;44,5;
"Catalunya Central";09/2010;3;180;37,3;
"Catalunya Central";08/2010;3;181;40,6;
"Catalunya Central";07/2010;3;182;46,4;
"Catalunya Central";06/2010;3;183;40;
"Catalunya Central";05/2010;3;184;48;
"Catalunya Central";04/2010;3;185;42,8;
"Catalunya Central";03/2010;3;186;40;
"Catalunya Central";02/2010;3;187;44,5;
