Població a 1 de gener. Per sexe
Municipis. 2025
"Font: Idescat, a partir del Padró continu de l'INE."
"Nota: A partir de 2023 el Padró municipal d'habitants només ofereix la xifra de població dels municipis, les comarques i Aran i les províncies.
La xifra total de Catalunya s'ofereix a títol informatiu."
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=pmh&n=446&geo=mun&lang=ca
Codi,Nom,Homes,Dones,Total
430509,Creixell,2104,2157,4261
170583,Crespià,136,118,254
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",684,666,1350
080749,Cubelles,8868,8805,17673
250791,Cubells,186,168,354
430516,Cunit,8075,8310,16385
170600,Darnius,296,267,563
170617,Das,141,120,261
439018,Deltebre,6081,5960,12041
080752,Dosrius,3174,3113,6287
430537,Duesaigües,120,97,217
170622,"Escala, l'",5203,5171,10374
080765,Esparreguera,11423,11242,22665
170638,Espinelves,122,139,261
250812,"Espluga Calba, l'",162,162,324
430542,"Espluga de Francolí, l'",1929,1934,3863
080771,Esplugues de Llobregat,22859,25362,48221
170643,Espolla,205,193,398
170656,Esponellà,229,217,446
250827,Espot,213,164,377
080787,"Espunyola, l'",130,130,260
082541,"Esquirol, l'",1152,1149,2301
250886,Estamariu,78,57,135
080790,"Estany, l'",216,174,390
250851,Estaràs,84,77,161
250864,Esterri d'Àneu,474,443,917
250870,Esterri de Cardós,31,32,63
430555,Falset,1505,1385,2890
170059,"Far d'Empordà, el",320,308,628
250899,Farrera,68,50,118
430568,"Fatarella, la",418,422,840
430574,"Febró, la",22,13,35
081347,Figaró-Montmany,577,618,1195
080804,Fígols,20,20,40
259084,Fígols i Alinyà,137,97,234
430580,"Figuera, la",66,49,115
170669,Figueres,24595,25094,49689
430593,Figuerola del Camp,167,175,342
170675,Flaçà,569,606,1175
430607,Flix,1689,1651,3340
250925,"Floresta, la",85,74,159
080826,Fogars de la Selva,896,808,1704
080811,Fogars de Montclús,268,226,494
170681,Foixà,151,147,298
080832,Folgueroles,1135,1127,2262
250931,Fondarella,406,417,823
080847,Fonollosa,800,770,1570
170694,Fontanals de Cerdanya,269,247,516
170708,Fontanilles,95,76,171
170715,Fontcoberta,763,720,1483
080850,Font-rubí,781,660,1441
250946,Foradada,107,86,193
179026,Forallac,870,920,1790
430614,Forès,25,13,38
170736,Fornells de la Selva,1404,1414,2818
170741,Fortià,384,409,793
080863,"Franqueses del Vallès, les",10525,10356,20881
430629,Freginals,251,192,443
250962,"Fuliola, la",639,623,1262
250978,Fulleda,47,40,87
080902,Gaià,88,84,172
